Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit, Value(Dollars) 
1982,216299,GRAPESWINE,39,Madera,27893,10,278930,140,TONS,"$39,050,000.00 "
1982,216299,GRAPESWINE,45,Mendocino,9667,4.7,45456,421,TONS,"$19,137,000.00 "
1982,216299,GRAPESWINE,47,Merced,12580,10.13,127400,143,TONS,"$18,258,000.00 "
1982,216299,GRAPESWINE,53,Monterey,24673,3.64,89735,462,TONS,"$41,458,000.00 "
1982,216299,GRAPESWINE,55,Napa,24168,4.08,98687,773,TONS,"$76,257,000.00 "
1982,216299,GRAPESWINE,61,Placer,129,1.22,157,303,TONS,"$47,600.00 "
1982,216299,GRAPESWINE,65,Riverside,2583,3.41,8810,249,TONS,"$2,193,400.00 "
1982,216299,GRAPESWINE,67,Sacramento,3410,2.99,10200,180,TONS,"$1,836,000.00 "
1982,216299,GRAPESWINE,69,SanBenito,4575,3.1,14180,400,TONS,"$5,672,000.00 "
1982,216299,GRAPESWINE,71,SanBernardino,6990,3.16,22110,183,TONS,"$4,044,000.00 "
1982,216299,GRAPESWINE,73,SanDiego,281,2.6,731,404,TONS,"$295,000.00 "
1982,216299,GRAPESWINE,77,SanJoaquin,33386,7.28,243000,167,TONS,"$40,538,000.00 "
1982,216299,GRAPESWINE,79,SanLuisObispo,4500,3.9,17550,602,TONS,"$10,560,000.00 "
1982,216299,GRAPESWINE,83,SantaBarbara,6382,2.95,18827,561,TONS,"$10,566,654.00 "
1982,216299,GRAPESWINE,85,SantaClara,1732,3,5195,400,TONS,"$2,078,000.00 "
1982,216299,GRAPESWINE,95,Solano,1164,4.78,5560,258,TONS,"$1,435,800.00 "
1982,216299,GRAPESWINE,97,Sonoma,24746,4,98979,565,TONS,"$55,910,300.00 "
1982,216299,GRAPESWINE,99,Stanislaus,19767,9.51,187900,119,TONS,"$22,294,000.00 "
1982,216299,GRAPESWINE,107,Tulare,13671,8.19,112000,187,TONS,"$20,916,000.00 "
1982,216299,GRAPESWINE,113,Yolo,501,9.1,4559,294,TONS,"$1,340,000.00 "
1981,216299,GRAPESWINE,1,Alameda,1725,2.82,4860,548,TONS,"$2,662,000.00 "
1981,216299,GRAPESWINE,5,Amador,930,3.18,2957,487,TONS,"$1,440,100.00 "
1981,216299,GRAPESWINE,9,Calaveras,57,0.88,50,450,TONS,"$22,500.00 "
1981,216299,GRAPESWINE,19,Fresno,34210,8.54,292000,205,TONS,"$60,000,000.00 "
1981,216299,GRAPESWINE,29,Kern,33840,7.97,269860,186,TONS,"$50,095,000.00 "
1981,216299,GRAPESWINE,31,Kings,1029,6.04,6215,230,TONS,"$1,429,450.00 "
1981,216299,GRAPESWINE,33,Lake,2678,2.69,7206,500,TONS,"$3,603,160.00 "
1981,216299,GRAPESWINE,39,Madera,27713,9,249417,195,TONS,"$48,636,000.00 "
1981,216299,GRAPESWINE,47,Merced,13536,7.8,105600,219,TONS,"$23,137,000.00 "
1981,216299,GRAPESWINE,55,Napa,22152,3.62,80155,732,TONS,"$58,659,000.00 "
1981,216299,GRAPESWINE,65,Riverside,2377,4.07,9667,404,TONS,"$3,903,200.00 "
1981,216299,GRAPESWINE,67,Sacramento,3350,6.99,23400,224,TONS,"$5,242,000.00 "
1981,216299,GRAPESWINE,69,SanBenito,4550,2.8,12750,500,TONS,"$6,375,000.00 "
1981,216299,GRAPESWINE,71,SanBernardino,8020,1.85,14840,162,TONS,"$2,398,000.00 "
1981,216299,GRAPESWINE,73,SanDiego,149,3.3,492,472,TONS,"$232,000.00 "
1981,216299,GRAPESWINE,77,SanJoaquin,31668,6.56,207600,254,TONS,"$52,692,000.00 "
1981,216299,GRAPESWINE,83,SantaBarbara,5496,2.78,15279,554,TONS,"$8,461,052.00 "
1981,216299,GRAPESWINE,95,Solano,1140,4.52,5154,328,TONS,"$1,692,300.00 "
1981,216299,GRAPESWINE,97,Sonoma,23776,3.39,80675,590,TONS,"$47,626,000.00 "
1981,216299,GRAPESWINE,99,Stanislaus,17550,6.81,119600,214,TONS,"$25,597,000.00 "
1981,216299,GRAPESWINE,107,Tulare,13431,9.48,127300,234,TONS,"$29,760,000.00 "
1981,216299,GRAPESWINE,113,Yolo,566,7.61,4307,362,TONS,"$1,559,000.00 "
1980,216299,GRAPESWINE,1,Alameda,1660,2.36,3918,542,TONS,"$2,125,000.00 "
1980,216299,GRAPESWINE,5,Amador,912,3.49,3183,450,TONS,"$1,432,300.00 "
1980,216299,GRAPESWINE,9,Calaveras,50,0.8,40,440,TONS,"$17,600.00 "
1980,216299,GRAPESWINE,19,Fresno,35170,10.21,359100,174,TONS,"$62,516,000.00 "
1980,216299,GRAPESWINE,29,Kern,36339,8.37,304000,152,TONS,"$46,208,000.00 "
1980,216299,GRAPESWINE,31,Kings,1122,7.9,8864,210,TONS,"$1,861,440.00 "
1980,216299,GRAPESWINE,33,Lake,2990,2.25,6722,462,TONS,"$3,106,650.00 "
1980,216299,GRAPESWINE,39,Madera,26251,9.5,249384,153,TONS,"$38,156,000.00 "
1980,216299,GRAPESWINE,47,Merced,13333,9.1,121300,176,TONS,"$21,333,000.00 "
1980,216299,GRAPESWINE,55,Napa,22261,3.6,80112,622,TONS,"$49,863,000.00 "
1980,216299,GRAPESWINE,65,Riverside,1701,4.77,8108,238,TONS,"$1,932,300.00 "
1980,216299,GRAPESWINE,67,Sacramento,3350,8,26800,210,TONS,"$5,628,000.00 "
1980,216299,GRAPESWINE,69,SanBenito,4500,3,13500,450,TONS,"$6,075,000.00 "
1980,216299,GRAPESWINE,71,SanBernardino,10060,3,30200,134,TONS,"$4,055,000.00 "
1980,216299,GRAPESWINE,73,SanDiego,164,2.1,344,279,TONS,"$96,000.00 "
1980,216299,GRAPESWINE,77,SanJoaquin,32639,5.61,183000,207,TONS,"$37,897,000.00 "
1980,216299,GRAPESWINE,83,SantaBarbara,5306,1.54,8171,499,TONS,"$4,073,244.00 "
1980,216299,GRAPESWINE,95,Solano,1138,3.99,4544,315,TONS,"$1,433,300.00 "
1980,216299,GRAPESWINE,97,Sonoma,23639,3.34,78941,506,TONS,"$39,982,000.00 "
1980,216299,GRAPESWINE,99,Stanislaus,17950,8.8,157900,183,TONS,"$28,848,000.00 "
1980,216299,GRAPESWINE,107,Tulare,15159,8.88,134600,170,TONS,"$22,902,000.00 "
1980,216299,GRAPESWINE,113,Yolo,566,8.7,4924,274,TONS,"$1,351,000.00 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,75,,,
