Date,Oil Price
Jan/22,83.220
Feb/22,91.640
Mar/22,108.500
Apr/22,101.780
May/22,109.550
Jun/22,114.840
Jul/22,101.620
Aug/22,93.670
Sep/22,84.260
Oct/22,87.550
