DATE,IPG2211A2N
11/1/2017,95.7362
12/1/2017,114.4154
1/1/2018,126.3626
2/1/2018,106.178
3/1/2018,103.1138
4/1/2018,92.4225
5/1/2018,93.0715
6/1/2018,103.2531
7/1/2018,113.0893
8/1/2018,113.0449
9/1/2018,101.4058
10/1/2018,94.4922
11/1/2018,101.3895
12/1/2018,110.5936
1/1/2019,120.0835
2/1/2019,109.9869
3/1/2019,104.4755
4/1/2019,88.2739
5/1/2019,92.6372
6/1/2019,99.6989
7/1/2019,113.925
8/1/2019,112.3523
9/1/2019,103.1219
10/1/2019,93.7998
11/1/2019,99.9351
12/1/2019,109.8622
1/1/2020,112.8358
2/1/2020,106.5041
3/1/2020,96.4716
4/1/2020,86.0479
5/1/2020,87.2456
6/1/2020,99.7384
7/1/2020,115.1903
8/1/2020,111.9056
9/1/2020,98.0708
10/1/2020,91.7454
11/1/2020,93.0406
12/1/2020,112.8288
1/1/2021,116.9067
2/1/2021,114.2905
3/1/2021,98.4832
4/1/2021,87.2921
5/1/2021,89.3455
6/1/2021,103.9947
7/1/2021,112.2001
8/1/2021,114.0978
9/1/2021,100.3642
10/1/2021,91.1548
11/1/2021,97.8449
12/1/2021,108.3546
1/1/2022,126.5273
2/1/2022,114.3064
3/1/2022,102.7847
4/1/2022,91.3963
5/1/2022,93.8455
6/1/2022,104.5226
7/1/2022,115.5735
8/1/2022,111.3668
9/1/2022,99.698
