DATE,IPG2211A2N,t,season
11/1/2019,99.9351,359,Nov
12/1/2019,109.8622,360,Dec
1/1/2020,112.8358,361,Jan
2/1/2020,106.5041,362,Feb
3/1/2020,96.4716,363,Mar
4/1/2020,86.0479,364,Apr
5/1/2020,87.2456,365,May
6/1/2020,99.7384,366,Jun
7/1/2020,115.1903,367,Jul
8/1/2020,111.9056,368,Aug
9/1/2020,98.0708,369,Sep
10/1/2020,91.7454,370,Oct
11/1/2020,93.0406,371,Nov
12/1/2020,112.8288,372,Dec
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
